Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
   28641    86229     1663    84233        0    74983     1330      605        0      552        0        0       61209    110916   561992   213773       18        0        0        0        0        0 
   28462    86623     1663    84469        0    74604     1811     1285        4      892        0        0       61209    111546   561760   213694      231        0        0        0        0        0 
   28721    86267     1663    84468        0    74645     1819     1076        4      966        0      384       61209    111189   561729   213683       30        0        0        0        0        0 
   28845    86289     1664    84381        0    74689     1667      838        0      614        0        0       61210    111124   561576   213624      153        0        0        0        0        0 
   28423    86606     1664    84408        0    75007     1687     1482        4     1047        0        0       61210    111468   561264   213524      311        0        0        0        0        0 
   28201    86839     1664    84624        0    74854     1805     1434        4      998        0        0       61212    111915   560999   213436      262        0        0        0        0        0 
   28450    86833     1664    84628        0    74571     1805      401        0      382        0        0       61212    111913   560997   213436        2        0        0        0        0        0 
   28163    86981     1665    84765        0    74616     1797     1561        4      976        0        0       61214    112197   560688   213315      308        0        2        0        0        0 
   28252    87034     1667    84795        0    74506     1797      927        0      800        0        0       61216    112280   560606   213278       81        0        0        0        0        0 
   28087    87126     1667    84861        0    74614     1805     1285        4     1043        0        0       61216    112438   560475   213215      131        0        0        0        0        0 
   27897    87139     1667    84877        0    74769     1821      627        0      584        0        0       61216    112467   560457   213210       18        0        0        0        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
   28005    87220     1667    84940        0    74583     1825 69249802   825141 55469478  4515798   493415       61216    112611   560329   213171  4611384 13037437  1272527    18420      244    23116 
   28082    87170     1667    84900        0    74607     1787      620        0      651        0        0       61216    112521   560314   213168       15        0        0        0        0        0 
   27934    87334     1667    84901        0    74503     1769     1288        4     1198        0        0       61216    112686   560308   213166        6        0        0        0        0        0 
   27822    87208     1667    84919        0    74741     1771     1077        4     1071        0        0       61216    112578   560299   213161        9        0        0        0        0        0 
   27574    87456     1667    85183        0    74687     1911     1299        0      736       13        0       61216    113090   559932   213011      367        0        0        0        0        0 
   27320    87582     1667    85265        0    74807     1907     1421        4     1035        0        0       61216    113298   559727   212916      204        0        0        0        0        0 
   27460    87585     1667    85276        0    74691     1921       38        0       23        0        0       61216    113312   559719   212914        8        0        0        0        0        0 
   27538    87550     1667    85280        0    74691     1877       41        0       25        0        0       61216    113281   559709   212907       10        0        0        0        0        0 
   26773    87678     1668    85375        0    75124     1747      942        0      525       33        0       61229    113492   559704   212904        5        0       11        0        0        0 
   27219    87699     1668    85396        0    74694     1751      640        0      619        0        0       61229    113534   559697   212901        7        0        0        0        0        0 
   27206    87874     1668    85421        0    74512     1755      777        4      689        0        0       61229    113734   559693   212897        3        0        0        0        0        0 
   27215    87739     1668    85442        0    74611     1743      930        4      823        0        0       61229    113620   559678   212892       15        0        0        0        0        0 
